,index,species,species__ontology_label,library_preparation_protocol,library_preparation_protocol__ontology_label,cellID,organ,organ__ontology_label,vaccination,vaccination__ontology_label,sex,is_living,sample_type,biosample_id,end_bias,cell_type,cell_type__ontology_label,disease,disease__ontology_label,donor_id,Stimulated,VaccineRoute,VaccineRouteUnique,VaccineRouteUniqueGroup,sequencing_instrument_manufacturer_model,sequencing_instrument_manufacturer_model__ontology_label,paired_ends,read_length,vaccination_route,vaccination__time_since,vaccination__time_since__unit,vaccination__time_since__unit_label,vaccination__dosage,X_13,Y_13,X_25,Y_25,sampleid
0,Week13_DF16_2318,NCBITaxon_9544,Macaca mulatta,EFO_0008919,Seq-Well,Week13_DF16_2318,UBERON_0002048,lung,VO_0000771,BCG vaccine,unknown,yes,direct from donor - fresh,Week13NODF16,3 prime end bias,CL_0000236,B cell,MONDO_0000001,disease or disorder,DF16,NO,IDLow,IDLow-DF16,1_IDLow-DF16,EFO_0009173,Illumina NextSeq 500,True,20-50,intradermal,13,UO_0000034,week,Low,-1.728434884,2.225001939,,,DDF16_WK13_STIMNO
1,Week13_DF16_1076,NCBITaxon_9544,Macaca mulatta,EFO_0008919,Seq-Well,Week13_DF16_1076,UBERON_0002048,lung,VO_0000771,BCG vaccine,unknown,yes,direct from donor - fresh,Week13NODF16,3 prime end bias,CL_0000236,B cell,MONDO_0000001,disease or disorder,DF16,NO,IDLow,IDLow-DF16,1_IDLow-DF16,EFO_0009173,Illumina NextSeq 500,True,20-50,intradermal,13,UO_0000034,week,Low,-11.02371104,-2.047246419,,,DDF16_WK13_STIMNO
2,Week13_DF16_1050,NCBITaxon_9544,Macaca mulatta,EFO_0008919,Seq-Well,Week13_DF16_1050,UBERON_0002048,lung,VO_0000771,BCG vaccine,unknown,yes,direct from donor - fresh,Week13NODF16,3 prime end bias,CL_0000236,B cell,MONDO_0000001,disease or disorder,DF16,NO,IDLow,IDLow-DF16,1_IDLow-DF16,EFO_0009173,Illumina NextSeq 500,True,20-50,intradermal,13,UO_0000034,week,Low,-10.74694846,-1.978112459,,,DDF16_WK13_STIMNO
3,Week13_DF16_504,NCBITaxon_9544,Macaca mulatta,EFO_0008919,Seq-Well,Week13_DF16_504,UBERON_0002048,lung,VO_0000771,BCG vaccine,unknown,yes,direct from donor - fresh,Week13NODF16,3 prime end bias,CL_0000236,B cell,MONDO_0000001,disease or disorder,DF16,NO,IDLow,IDLow-DF16,1_IDLow-DF16,EFO_0009173,Illumina NextSeq 500,True,20-50,intradermal,13,UO_0000034,week,Low,-11.05698713,-1.839118964,,,DDF16_WK13_STIMNO
4,Week13_DF16_1149,NCBITaxon_9544,Macaca mulatta,EFO_0008919,Seq-Well,Week13_DF16_1149,UBERON_0002048,lung,VO_0000771,BCG vaccine,unknown,yes,direct from donor - fresh,Week13NODF16,3 prime end bias,CL_0000236,B cell,MONDO_0000001,disease or disorder,DF16,NO,IDLow,IDLow-DF16,1_IDLow-DF16,EFO_0009173,Illumina NextSeq 500,True,20-50,intradermal,13,UO_0000034,week,Low,-10.7692231,-1.902865786,,,DDF16_WK13_STIMNO
5,Week13_DF16_352,NCBITaxon_9544,Macaca mulatta,EFO_0008919,Seq-Well,Week13_DF16_352,UBERON_0002048,lung,VO_0000771,BCG vaccine,unknown,yes,direct from donor - fresh,Week13NODF16,3 prime end bias,CL_0000236,B cell,MONDO_0000001,disease or disorder,DF16,NO,IDLow,IDLow-DF16,1_IDLow-DF16,EFO_0009173,Illumina NextSeq 500,True,20-50,intradermal,13,UO_0000034,week,Low,-9.01610021,-0.710456434,,,DDF16_WK13_STIMNO
6,Week13_DF16_1192,NCBITaxon_9544,Macaca mulatta,EFO_0008919,Seq-Well,Week13_DF16_1192,UBERON_0002048,lung,VO_0000771,BCG vaccine,unknown,yes,direct from donor - fresh,Week13NODF16,3 prime end bias,CL_0000236,B cell,MONDO_0000001,disease or disorder,DF16,NO,IDLow,IDLow-DF16,1_IDLow-DF16,EFO_0009173,Illumina NextSeq 500,True,20-50,intradermal,13,UO_0000034,week,Low,-10.44527053,-1.803757345,,,DDF16_WK13_STIMNO
7,Week13_DF16_1504,NCBITaxon_9544,Macaca mulatta,EFO_0008919,Seq-Well,Week13_DF16_1504,UBERON_0002048,lung,VO_0000771,BCG vaccine,unknown,yes,direct from donor - fresh,Week13NODF16,3 prime end bias,CL_0000236,B cell,MONDO_0000001,disease or disorder,DF16,NO,IDLow,IDLow-DF16,1_IDLow-DF16,EFO_0009173,Illumina NextSeq 500,True,20-50,intradermal,13,UO_0000034,week,Low,-9.207524713,-1.033307507,,,DDF16_WK13_STIMNO
8,Week13_DF16_2673,NCBITaxon_9544,Macaca mulatta,EFO_0008919,Seq-Well,Week13_DF16_2673,UBERON_0002048,lung,VO_0000771,BCG vaccine,unknown,yes,direct from donor - fresh,Week13NODF16,3 prime end bias,CL_0000236,B cell,MONDO_0000001,disease or disorder,DF16,NO,IDLow,IDLow-DF16,1_IDLow-DF16,EFO_0009173,Illumina NextSeq 500,True,20-50,intradermal,13,UO_0000034,week,Low,-10.43625867,-1.844468033,,,DDF16_WK13_STIMNO
9,Week13_DF16_2219,NCBITaxon_9544,Macaca mulatta,EFO_0008919,Seq-Well,Week13_DF16_2219,UBERON_0002048,lung,VO_0000771,BCG vaccine,unknown,yes,direct from donor - fresh,Week13NODF16,3 prime end bias,CL_0000236,B cell,MONDO_0000001,disease or disorder,DF16,NO,IDLow,IDLow-DF16,1_IDLow-DF16,EFO_0009173,Illumina NextSeq 500,True,20-50,intradermal,13,UO_0000034,week,Low,-10.62178618,-2.03584885,,,DDF16_WK13_STIMNO
